competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_movecount,optimal_solution
ChillOutTrondheim2018,6.67,1,A,0,3,U R' F R2 U R' F' U F' U2 R,10, F U' R U2 R2 U F' U R' U2
ChillOutTrondheim2018,6.67,1,A,0,4,R' F U R' F U2 R U2 R' U' F',9, U F' R' F U' F' U R' U'
ChillOutTrondheim2018,6.67,1,A,0,5,R U' R2 F U2 F R2 U2 R2 U2 F,8, F' U2 F R2 F R2 U' R'
ChillOutTrondheim2018,6.67,1,A,1,1,R U2 R' U R' U' R U2 R' F2 R,7, R F R F' R U F2
ChillOutTrondheim2018,6.67,1,A,1,2,U2 R' U2 F2 R U' R' U' R U2 R',6, U R U R2 U2 F2
NordicChampionship2018,6.67,1,A,0,1,R U' R2 F R2 U2 R' U2 R' U' F,9, F2 R' F2 R U F2 R2 U' R'
NordicChampionship2018,6.67,1,A,0,2,R U2 R2 U' R U' R F R2 F' R2,8, R F' U F' R2 F R2 F2
NordicChampionship2018,6.67,1,A,0,3,R U' F' R2 F U' R2 U2 R2 U' F,6, U' R2 U F' U' R
NordicChampionship2018,6.67,1,A,0,4,F' U2 F R U R U2 F' R' U' R,9, F' U2 R' U F2 U F2 U2 R'
NordicChampionship2018,6.67,1,A,0,5,R' U2 F' R2 U2 R' U' R' U2 F U,4, U' F2 R' F
NordicChampionship2018,6.67,1,A,1,1,R U' R' U2 F' R U' R U2 R' U',9, F U F2 R U' F2 U R2 F2
NordicChampionship2018,6.67,1,A,1,2,U' R U2 R2 U' R F U2 F R' F,6, F R2 F R' U' F2
AlmetOpen2018,6.67,f,A,0,1,R' F R U R' U R' F U2 R2 U2,8, F R2 F U2 R F U2 R2
AlmetOpen2018,6.67,f,A,0,2,U' R' U' F U2 F' R2 U' R2 U' R2,8, F' R' F2 R U' R F' U'
AlmetOpen2018,6.67,f,A,0,3,R' U' R' U' F U' R2 U2 F' U' R2,9, F2 U F' R' U F U R2 F2
AlmetOpen2018,6.67,f,A,0,4,R' U' F R2 U' R U' R2 F U R2,6, U' F2 R U' F2 U
AlmetOpen2018,6.67,f,A,0,5,F' R U R U' R2 U F U' F U',9, U F2 R F U R' F' U' F
AlmetOpen2018,6.67,f,A,1,1,R U' F U2 R U R' F U2 R U2,6, F2 U2 F' R U R'
AlmetOpen2018,6.67,f,A,1,2,U' R U' R2 F' R U' R' U F U2,6, F2 R2 U2 R' F R'
WPIWinterCubeDay2018,6.67,1,D,0,1,U2 R' U R2 F R U' R' U' F U2,8, R2 U R2 F' U F' R' F
WPIWinterCubeDay2018,6.67,1,D,0,2,R U2 R2 U' F R2 U2 F U2 F R,8, F' U' F2 U R' F2 U2 R2
WPIWinterCubeDay2018,6.67,1,D,0,3,U' R' F' R F' U' F R U' R U',6, U2 F U R2 F2 R'
WPIWinterCubeDay2018,6.67,1,D,0,4,R' U2 R U' R' F U' R2 F' R2 U2,6, R' U' F' R U2 R
WPIWinterCubeDay2018,6.67,1,D,0,5,R F' U2 R2 U' F U2 F' R' F U',10, F R' F' R' U2 R' U' F' U2 F'
WPIWinterCubeDay2018,6.67,1,D,1,1,R' F2 U' F R2 U' R' U' R' U' F',6, F U2 F' R2 F' U2
WPIWinterCubeDay2018,6.67,1,D,1,2,U' R F' R2 F' R U' F' R' U2 R',9, F' R' U' R2 U' F R2 F' U'
SydChamps2017,6.67,1,A,0,1,R' F U' R' U R' U2 F R U R,7, F2 U F' R F2 U' R2
SydChamps2017,6.67,1,A,0,2,U2 R F' R' U' R U2 R2 U2 R U,8, F R' F' R U F' R2 F
SydChamps2017,6.67,1,A,0,3,R' U2 F U' R2 U2 R2 U2 F' U2 R,8, R U2 F' R2 U F' U2 R
SydChamps2017,6.67,1,A,0,4,U' R U' R' U' R2 F' U' R2 U' F,7, F2 U' R F' U' R U2
SydChamps2017,6.67,1,A,0,5,U2 R F' U' R' U' R' U' F' U' R,4, R' U2 R2 F
SydChamps2017,6.67,1,A,1,1,R' F' R U F R U' R' F R U,6, R F2 R' U F2 R2
SydChamps2017,6.67,1,A,1,2,R' F R F' R2 F' U2 R' U2 R' U2,10, F U2 R F U R2 F' R U2 F'
UtahMegacomp2015,6.67,1,D,0,1,U' R U' R2 U2 F U' F2 R U' F,9, U2 R2 F' U R2 F' R' U2 R2
UtahMegacomp2015,6.67,1,D,0,2,U R' U2 R U R U' R2 U R' F,7, F' R U R2 U R' U2
UtahMegacomp2015,6.67,1,D,0,3,R U' R2 F U2 F2 U' F U' R2 U',7, F U' F' U F' U2 R2
UtahMegacomp2015,6.67,1,D,0,4,U R' U2 F' U' F R U R' F R',6, F' U R F' U F
UtahMegacomp2015,6.67,1,D,0,5,R' F' U R U' F U' R U' R U',9, F' R2 F R2 F R F U2 R2
UtahMegacomp2015,6.67,1,D,1,1,R' U' R U' R U' R2 F2 U F' R,6, U' F U' F2 R2 U2
UtahMegacomp2015,6.67,1,D,1,2,R' U' R U R' F U' R' F U R,9, R F' U2 R2 F' U' R U2 F2
