competition_id,Ao5,round_type_id,group_id,scramble_num,scramble,cspobl_slicecount,cspobl_solution
PhoenixCubeChampionship2018,5.67,f,B,5,"(0,2) / (-2,4) / (-4,5) / (-3,0) / (-5,-5) / (3,0) / (-1,0) / (-3,0) / (-2,-1) / (2,0) / (3,0) / (-4,0)",7,"(-2,3)/(-2,-1)/(4,-2)/(-2,2)/(-4,1)/(3,3)/(1,3)/(2,0)"
JohorCubeOpen2018,5.67,c,A,1,"(0,-4) / (-2,4) / (0,3) / (-1,-1) / (0,-3) / (3,-3) / (-5,0) / (-3,-3) / (-1,-4) / (2,0) / (0,-2) / (-4,0) /",6,"(4,2)/(-2,0)/(-4,-2)/(2,-3)/(3,3)/(-2,3)/(2,0)"
JohorCubeOpen2018,5.67,c,A,2,"(-2,0) / (0,-3) / (-3,-3) / (-3,0) / (-1,-4) / (-2,0) / (3,0) / (2,-5) / (0,-2)",5,"(0,2)/(4,-1)/(0,-3)/(2,0)/(1,4)/(2,0)"
JohorCubeOpen2018,5.67,c,A,3,"(1,3) / (3,0) / (3,0) / (-1,-4) / (-2,-5) / (-1,0) / (0,-3) / (0,-1) / (3,-4) / (-2,0) / (-3,-4) / (0,-4)",6,"(-3,2)/(0,2)/(0,-2)/(0,1)/(0,3)/(0,-4)/(3,-2)"
JohorCubeOpen2018,5.67,c,A,4,"(4,-3) / (0,-3) / (0,3) / (-4,-1) / (0,-3) / (-3,-3) / (1,0) / (3,0) / (3,-5) / (0,-4) / (3,0) / (3,0)",4,"(2,3)/(-3,0)/(4,1)/(-4,-1)/(3,-2)"
JohorCubeOpen2018,5.67,c,A,5,"(4,0) / (0,3) / (2,-1) / (-3,0) / (0,-3) / (3,0) / (-2,0) / (-3,0) / (5,-2) / (4,0) / (0,-1) / (2,-5) / (0,-5) / (2,0)",7,"(2,-3)/(0,-4)/(1,0)/(3,-2)/(2,0)/(-3,-2)/(6,3)/(2,-2)"
PinoyOlympics2015,5.67,f,A,1,"(0,-4) / (-3,0) / (0,3) / (4,-5) / (3,0) / (3,0) / (-1,-3) / (-3,0) / (3,-3) / (0,-3) / (-3,-4)",5,"(-3,0)/(3,-2)/(0,-3)/(1,3)/(0,3)/(2,0)"
PinoyOlympics2015,5.67,f,A,2,"(-5,0) / (0,-3) / (2,2) / (4,-5) / (-3,0) / (-3,-4) / (-3,0) / (-1,0) / (2,0) / (0,-2) / (4,0) / (0,-4) / (6,0) / (0,-2)",7,"(-2,0)/(-4,0)/(-4,-2)/(0,-4)/(1,2)/(0,3)/(6,4)/(2,0)"
PinoyOlympics2015,5.67,f,A,3,"(4,0) / (5,-4) / (-5,-2) / (3,0) / (6,-3) / (-1,0) / (3,0) / (1,-4) / (0,-4) / (4,0) / (0,-2) / (2,0) / (6,-4)",8,"(4,-2)/(0,2)/(0,2)/(4,0)/(0,2)/(2,1)/(0,3)/(-3,-1)/(3,-2)"
PinoyOlympics2015,5.67,f,A,4,"(0,5) / (1,4) / (5,-4) / (-3,0) / (1,-5) / (3,0) / (-4,0) / (0,-3) / (4,0) / (-4,-1) / (4,0)",5,"(3,-2)/(2,3)/(3,0)/(3,-3)/(-1,6)/(3,-2)"
PinoyOlympics2015,5.67,f,A,5,"(0,-4) / (0,-3) / (-2,4) / (2,-4) / (-3,0) / (3,-5) / (3,0) / (-3,0) / (3,-3)",5,"(3,-3)/(-3,0)/(0,3)/(5,0)/(-5,-5)/(2,0)"
