competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,cspobl_slicecount,cspobl_solution
EstonianChampionship2025,5.67,d,B,0,2,"(4,0) / (-4,2) / (-2,-5) / (-4,-1) / (1,0) / (-3,-3) / (-5,0) / (6,-2) / (6,-4)",6,"(6,0)/(-3,-2)/(-5,0)/(3,-1)/(3,3)/(6,5)/(3,-2)"
EstonianChampionship2025,5.67,d,B,0,3,"(1,0) / (0,3) / (-1,2) / (6,-5) / (-3,-3) / (3,0) / (-1,-3) / (-4,-2) / (-2,0) / (-2,0) / (5,0) / (2,0)",8,"(4,-1)/(4,-1)/(2,-2)/(2,-2)/(-3,2)/(3,3)/(3,-2)/(0,3)/(2,0)"
EstonianChampionship2025,5.67,d,B,0,4,"(0,-4) / (3,0) / (-5,-2) / (0,-3) / (2,-4) / (3,0) / (-2,0) / (-3,-3) / (-1,-4) / (2,0)",5,"(2,1)/(3,3)/(-5,0)/(0,3)/(-4,-1)/(3,-2)"
EstonianChampionship2025,5.67,d,B,0,5,"(0,-4) / (0,-3) / (4,4) / (5,-1) / (1,-2) / (-1,0) / (-3,0) / (3,0) / (-5,-3) / (4,0) / (2,-4) /",6,"/(4,-2)/(-1,4)/(1,0)/(0,3)/(6,-2)/(2,0)"
EstonianChampionship2025,5.67,d,B,1,1,"(-5,0) / (-3,-3) / (5,2) / (-2,-5) / (3,0) / (-3,0) / (-1,0) / (3,-3) / (6,-3) / (0,-3) / (-2,-4) / (-2,0)",4,"(2,0)/(-1,-2)/(-3,0)/(-5,-3)/(2,0)"
EstonianChampionship2025,5.67,d,B,1,2,"(0,5) / (1,-2) / (5,-4) / (3,0) / (3,0) / (-3,-3) / (0,-5) / (-3,0) / (3,0) / (6,0) / (-5,0) / (-2,0) / (-2,0) / (-4,0)",7,"(0,-4)/(-3,-2)/(-2,0)/(3,-2)/(-2,3)/(2,1)/(3,0)/"
BilbaoOpen2025,5.67,f,A,0,1,"(0,2) / (0,-3) / (4,1) / (-3,-3) / (0,-3) / (-3,-3) / (5,0) / (3,0) / (-5,0) / (3,0) / (6,0) /",4,"/(-1,-3)/(-3,0)/(-3,-4)/(3,-2)"
BilbaoOpen2025,5.67,f,A,0,2,"(0,5) / (6,3) / (-2,4) / (5,-4) / (-3,0) / (3,-5) / (0,-3) / (-3,-3) / (-3,0)",4,"(3,-3)/(0,5)/(0,-3)/(4,1)/(2,0)"
BilbaoOpen2025,5.67,f,A,0,3,"(0,2) / (3,0) / (-3,0) / (-2,-5) / (3,0) / (3,0) / (5,0) / (-3,0) / (4,-1) / (6,-2) / (-2,0) / (-4,0)",8,"(4,0)/(2,0)/(0,-4)/(0,-4)/(4,1)/(2,3)/(3,0)/(4,3)/(2,0)"
BilbaoOpen2025,5.67,f,A,0,4,"(0,2) / (0,3) / (1,4) / (0,-3) / (-3,-3) / (6,0) / (-4,0) / (-3,-3) / (2,0) / (-5,0) / (0,-3) / (-2,0) / (-2,0)",6,"(-4,-2)/(4,2)/(2,0)/(3,0)/(3,3)/(2,0)/(3,-2)"
BilbaoOpen2025,5.67,f,A,0,5,"(0,-1) / (-3,-3) / (-2,-5) / (3,0) / (5,-1) / (0,-3) / (-2,0) / (-3,-3) / (-5,-4) / (-2,-4) / (-2,-4) /",7,"(2,2)/(2,2)/(4,0)/(3,2)/(3,3)/(2,0)/(-3,6)/(3,-2)"
BilbaoOpen2025,5.67,f,A,1,1,"(4,0) / (5,2) / (0,-3) / (6,0) / (0,-5) / (-3,0) / (-2,0) / (0,-1) / (4,0) / (-3,0) / (-2,-3) / (-1,-5) / (6,0)",8,"(3,0)/(2,-1)/(1,-2)/(-2,3)/(-1,0)/(-2,0)/(0,-3)/(2,-3)/(3,-2)"
BilbaoOpen2025,5.67,f,A,1,2,"(0,2) / (6,3) / (-2,4) / (3,0) / (0,-3) / (3,-1) / (0,-3) / (-1,0) / (-2,-4) / (2,0) / (0,-4) / (4,0) / (0,-4)",8,"(2,-2)/(4,0)/(3,2)/(4,1)/(2,3)/(-1,0)/(-3,0)/(-5,3)/(2,0)"
IsraelChampionship2025,5.67,d,A,0,1,"(4,0) / (2,-1) / (-2,1) / (0,-3) / (-3,-3) / (-1,0) / (0,-3) / (4,-1) / (0,-4) / (0,-3) / (-2,-2) / (-2,-4) /",7,"(4,2)/(-1,2)/(4,-1)/(-2,1)/(-4,0)/(3,2)/(3,3)/(2,-2)"
IsraelChampionship2025,5.67,d,A,0,2,"(4,3) / (0,3) / (0,-3) / (-1,-1) / (-2,-5) / (0,-3) / (5,0) / (0,-3) / (4,0) / (-1,0) / (3,0) / (-3,0)",4,"(3,-3)/(3,1)/(0,-3)/(2,5)/(3,-2)"
IsraelChampionship2025,5.67,d,A,0,3,"(0,-4) / (-3,0) / (3,0) / (0,-3) / (-5,-2) / (-3,0) / (0,-3) / (0,-4) / (-3,-3) / (1,0) / (2,0) / (6,-4) / (4,0) / (4,0)",6,"(4,-2)/(0,2)/(2,0)/(3,2)/(3,3)/(-3,4)/(2,0)"
IsraelChampionship2025,5.67,d,A,0,4,"(0,-4) / (-3,3) / (-5,4) / (-3,-3) / (3,0) / (-4,-3) / (-3,-3) / (3,0) / (5,-5) / (0,-2) / (2,0) /",6,"(-4,0)/(2,2)/(-4,2)/(0,-2)/(2,1)/(-3,-3)/(2,-2)"
IsraelChampionship2025,5.67,d,A,0,5,"(0,2) / (-3,0) / (4,-5) / (-3,0) / (2,-1) / (6,-3) / (4,0) / (3,0) / (-4,0) / (-5,0) / (4,-3) / (6,-4) / (1,0)",8,"(6,0)/(1,-4)/(0,-3)/(0,-4)/(0,-2)/(-1,4)/(-3,0)/(-5,6)/(2,0)"
