competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_slicecount,optimal_solution
NewEnglandChampionship2023,9.2,d,B,4,"(1,0) / (-3,0) / (2,5) / (3,-3) / (6,0) / (0,-2) / (-3,0) / (-2,0) / (6,-1) / (3,-2) /",8,"(2,6)/(0,4)/(0,2)/(4,6)/(5,-4)/(3,-5)/(3,0)/(6,-1)/(3,4)"
NewEnglandChampionship2023,9.2,d,B,5,"(-3,-1) / (0,-3) / (0,-3) / (-3,0) / (-2,-5) / (6,0) / (-1,-3) / (3,0) / (0,-3) / (0,-5) / (0,-1) / (1,-2) / (-2,-3)",10,"(2,-3)/(2,-4)/(4,4)/(2,5)/(0,-1)/(1,4)/(0,5)/(0,-3)/(0,-2)/(-1,2)/(-3,-2)"
GotlandOpen2023,9.2,f,B,1,"(0,2) / (-5,-2) / (0,-3) / (0,-3) / (-4,-4) / (3,0) / (-3,-2) / (6,-3) / (-3,0) / (0,-3) / (0,-3) /",9,"(3,-3)/(0,3)/(3,6)/(4,-3)/(5,-4)/(4,-2)/(2,-1)/(4,-5)/(0,3)/(5,-3)"
GotlandOpen2023,9.2,f,B,2,"(-5,0) / (-3,0) / (-3,6) / (3,0) / (-4,-1) / (6,-2) / (3,-3) / (0,-3) / (6,0)",8,"(3,3)/(3,-3)/(0,-3)/(3,5)/(1,-5)/(0,3)/(3,0)/(3,3)/(5,0)"
GotlandOpen2023,9.2,f,B,3,"(0,-1) / (3,-3) / (0,-3) / (-2,-2) / (-1,-1) / (-5,0) / (-3,-3) / (1,0) / (4,-2) / (0,-2) / (-5,0) / (0,-3) /",10,"(1,0)/(4,5)/(1,6)/(3,-4)/(0,1)/(3,2)/(3,0)/(5,3)/(4,1)/(-1,2)/(0,-5)"
GotlandOpen2023,9.2,f,B,4,"(0,5) / (-2,4) / (3,3) / (3,0) / (-1,0) / (0,-3) / (-3,-1) / (0,-5) / (1,-2) / (6,0)",9,"(0,6)/(2,-1)/(0,5)/(1,3)/(0,3)/(0,1)/(3,6)/(3,3)/(-4,2)/(6,1)"
GotlandOpen2023,9.2,f,B,5,"(4,0) / (0,3) / (5,2) / (0,-3) / (-3,-3) / (-3,0) / (-2,-3) / (-3,0) / (0,-3) / (-1,0) / (0,-5) / (-4,-3) / (-1,-2)",10,"(1,0)/(4,6)/(4,-4)/(0,-5)/(2,6)/(0,3)/(4,-5)/(0,2)/(5,6)/(-3,0)/(-3,6)"
EmpireStateSpring2023,9.2,d,A,1,"(1,0) / (-4,2) / (0,3) / (4,-5) / (3,-3) / (-3,-1) / (3,0) / (-4,-3) / (-3,-2) / (-3,-2)",9,"(3,-4)/(0,3)/(0,5)/(1,-3)/(3,3)/(2,-3)/(1,4)/(2,3)/(6,-3)/(-4,-2)"
EmpireStateSpring2023,9.2,d,A,2,"(1,-3) / (6,3) / (6,-3) / (-1,-1) / (-3,0) / (6,-2) / (0,-3) / (0,-3) / (-3,-4) / (6,0)",9,"(0,6)/(1,3)/(0,-3)/(3,6)/(5,0)/(3,0)/(1,1)/(0,-3)/(6,-3)/(-1,3)"
EmpireStateSpring2023,9.2,d,A,3,"(3,-4) / (-3,0) / (-2,1) / (3,-3) / (-3,0) / (2,0) / (6,-3) / (2,-5) / (4,0) / (-2,-4) / (4,0)",10,"(2,6)/(1,-2)/(0,-4)/(4,6)/(1,-4)/(4,0)/(0,-3)/(0,-4)/(1,3)/(-3,6)/(-3,-3)"
EmpireStateSpring2023,9.2,d,A,4,"(1,3) / (3,6) / (2,-4) / (3,0) / (-3,-2) / (0,-3) / (-2,0) / (0,-1) / (3,-4) / (0,-1) / (0,-4) / (-3,0)",9,"(3,4)/(0,-3)/(0,4)/(2,6)/(1,6)/(5,0)/(0,4)/(0,-3)/(-2,-3)/(2,6)"
EmpireStateSpring2023,9.2,d,A,5,"(0,-1) / (4,-2) / (6,3) / (3,0) / (0,-4) / (-3,0) / (0,-3) / (1,-3) / (5,-4) / (-4,0) / (5,-2) / (-4,0)",9,"(0,1)/(0,4)/(2,-2)/(2,1)/(0,-4)/(4,-1)/(0,-3)/(0,4)/(-1,-4)/(6,4)"
CubingATMOSphere2022,9.2,c,A,1,"(1,0) / (3,0) / (2,-1) / (4,-2) / (3,0) / (-3,0) / (5,0) / (0,-3) / (-3,0) / (3,0) / (1,0) / (-2,0) / (4,-5) /",7,"/(2,-1)/(5,-2)/(1,-3)/(0,5)/(0,4)/(3,6)/(-4,1)"
CubingATMOSphere2022,9.2,c,A,2,"(0,-4) / (1,-2) / (3,3) / (-1,-4) / (3,0) / (6,-5) / (-3,0) / (0,-3) / (0,-3) / (4,0) / (4,0) / (4,0) / (6,0)",10,"(4,-5)/(2,0)/(0,3)/(4,-4)/(0,-4)/(5,4)/(3,6)/(2,0)/(3,6)/(-2,-5)/(5,6)"
CubingATMOSphere2022,9.2,c,A,3,"(0,-1) / (-5,1) / (2,-1) / (1,-5) / (2,-1) / (1,0) / (-3,0) / (-1,0) / (-4,0) / (-5,0) / (6,-2) / (-4,0) / (0,-4)",10,"(3,-2)/(1,4)/(2,0)/(0,-2)/(4,-2)/(3,0)/(0,-5)/(3,-1)/(3,3)/(-5,0)/(5,-3)"
CubingATMOSphere2022,9.2,c,A,4,"(-3,-4) / (-2,4) / (-3,-3) / (-1,-4) / (-3,0) / (-2,0) / (0,-3) / (-3,0) / (0,-4) / (-4,-5) / (0,-3) / (-2,-5)",9,"(2,4)/(4,2)/(2,4)/(2,-2)/(2,4)/(1,0)/(3,3)/(3,1)/(-4,-1)/(3,-5)"
CubingATMOSphere2022,9.2,c,A,5,"(4,0) / (2,-1) / (-2,4) / (-1,-4) / (0,-3) / (6,0) / (0,-2) / (6,-3) / (0,-5) / (0,-4) / (0,-2) / (2,-2) / (0,-4)",10,"(3,4)/(0,-4)/(0,4)/(3,-4)/(2,1)/(0,3)/(4,0)/(2,-1)/(3,0)/(1,-2)/(-1,3)"
TresenLineaBogota2022,9.2,2,A,1,"(4,0) / (0,3) / (-1,5) / (1,-2) / (-4,-1) / (3,0) / (-2,0) / (3,-3) / (0,-3) / (0,-1) / (2,0) / (4,-2) /",10,"(2,6)/(3,-4)/(1,3)/(0,-1)/(2,-5)/(0,2)/(4,-3)/(1,5)/(3,6)/(-3,6)/(-4,-2)"
