competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_slicecount,optimal_solution
PortugalChampionship2025,9.0,f,A,0,1,"(0,2) / (-2,4) / (0,6) / (-3,0) / (-1,-1) / (-3,0) / (0,-5) / (-3,0) / (0,-1) / (-4,-2) / (0,-1) / (-4,-3) / (1,0)",8,"(2,-4)/(1,2)/(2,0)/(1,0)/(4,6)/(1,2)/(3,3)/(6,-5)/(-1,-3)"
PortugalChampionship2025,9.0,f,A,0,2,"(0,5) / (-3,0) / (0,6) / (-3,0) / (-5,-2) / (-3,0) / (0,-1) / (3,0) / (-3,0) / (5,-3) / (0,-3) / (6,0)",9,"(1,6)/(3,1)/(0,-3)/(0,-1)/(3,6)/(3,-4)/(4,-5)/(5,-1)/(3,6)/(3,-5)"
PortugalChampionship2025,9.0,f,A,0,3,"(4,6) / (-4,-4) / (-3,0) / (6,-3) / (-2,-5) / (3,-1) / (0,-3) / (-3,0) / (3,-4) / (-4,0) / (0,-2) / (2,0)",11,"(2,-5)/(2,-4)/(3,6)/(2,3)/(3,0)/(5,3)/(0,-5)/(3,0)/(0,-3)/(3,4)/(3,6)/(-4,-3)"
PortugalChampionship2025,9.0,f,A,0,4,"(-2,0) / (5,-4) / (-5,1) / (0,-3) / (3,0) / (-1,-1) / (0,-5) / (0,-3) / (4,-1) / (0,-4) / (0,-5) / (6,0) / (4,0)",10,"(4,5)/(4,-3)/(5,6)/(0,-2)/(5,4)/(4,0)/(2,-3)/(2,3)/(3,0)/(3,5)/(-3,-5)"
PortugalChampionship2025,9.0,f,A,0,5,"(1,3) / (0,3) / (-1,2) / (-2,-2) / (-3,0) / (6,-4) / (-3,0) / (-1,0) / (-4,0) / (1,0) / (-2,0) / (5,0) / (4,-3)",10,"(2,3)/(4,1)/(5,2)/(4,6)/(4,0)/(3,4)/(5,6)/(2,0)/(4,5)/(6,3)/(3,6)"
PortugalChampionship2025,9.0,f,A,1,1,"(1,0) / (-3,3) / (2,-4) / (-3,0) / (3,-3) / (3,0) / (-2,0) / (-3,-3) / (-5,0) / (2,0) / (4,0) / (4,-2) / (2,0)",10,"(2,-2)/(4,0)/(2,4)/(2,2)/(2,-2)/(2,1)/(3,3)/(4,0)/(3,6)/(5,-4)/(3,4)"
PortugalChampionship2025,9.0,f,A,1,2,"(-3,-1) / (0,-3) / (-2,-5) / (0,-3) / (-4,-1) / (3,-5) / (3,0) / (-3,0) / (-2,-4)",8,"(2,4)/(3,0)/(3,6)/(5,-3)/(4,1)/(3,0)/(2,5)/(3,0)/(-3,-5)"
UCSBFavorites2025,9.0,c,B,0,1,"(0,5) / (-3,3) / (-3,0) / (-2,-2) / (6,-3) / (0,-3) / (0,-4) / (-3,-3) / (-3,0) / (-2,-4) / (-2,0) / (0,-5)",9,"(2,5)/(4,4)/(4,-4)/(0,-2)/(4,6)/(1,0)/(3,3)/(5,3)/(1,-5)/(2,6)"
UCSBFavorites2025,9.0,c,B,0,2,"(0,-4) / (3,6) / (3,0) / (4,-5) / (2,-4) / (-3,0) / (4,0) / (-3,-3) / (-5,-2) / (4,0) / (0,-4) / (-4,-2) /",10,"(4,2)/(2,6)/(2,-4)/(2,2)/(2,-5)/(3,-3)/(3,6)/(1,6)/(5,0)/(6,3)/(2,-2)"
UCSBFavorites2025,9.0,c,B,0,3,"(0,5) / (-5,-2) / (-3,0) / (0,-3) / (6,-3) / (0,-3) / (-1,0) / (-3,0) / (0,-1) / (0,-3) / (4,0) / (6,0) /",8,"(0,6)/(0,-1)/(1,3)/(1,6)/(0,-4)/(0,-5)/(5,6)/(6,3)/(-4,1)"
UCSBFavorites2025,9.0,c,B,0,4,"(0,-1) / (0,3) / (-3,0) / (-5,-5) / (0,-3) / (-1,-1) / (-2,0) / (6,-3) / (-3,-4) / (0,-3) / (4,0) / (0,-2) / (6,-5)",12,"(2,-1)/(0,6)/(4,-5)/(2,4)/(2,1)/(2,-1)/(0,4)/(4,2)/(0,4)/(2,-5)/(3,0)/(4,3)/(5,0)"
UCSBFavorites2025,9.0,c,B,0,5,"(4,0) / (-4,5) / (3,-3) / (3,0) / (1,-5) / (-4,0) / (3,0) / (3,0) / (-4,0) / (4,0) / (-4,0) / (-2,-1) /",12,"(2,-2)/(2,-3)/(2,-2)/(1,6)/(3,6)/(0,-3)/(0,4)/(3,6)/(5,-1)/(3,0)/(1,1)/(2,-4)/(-3,4)"
UCSBFavorites2025,9.0,c,B,1,1,"(0,-1) / (6,-3) / (4,1) / (5,-4) / (3,-5) / (0,-3) / (4,-3) / (0,-4) / (2,0)",8,"(4,6)/(4,0)/(2,-3)/(0,3)/(3,-1)/(4,-5)/(2,5)/(6,3)/(0,1)"
UCSBFavorites2025,9.0,c,B,1,2,"(-5,0) / (-1,-4) / (0,-3) / (0,-3) / (-5,-5) / (-1,-4) / (0,-5) / (0,-3) / (0,-3) / (-3,-4) / (-2,0) / (0,-4) / (-2,0)",10,"(2,0)/(5,-2)/(4,-3)/(3,0)/(0,-1)/(1,6)/(0,3)/(2,3)/(3,3)/(1,4)/(-1,0)"
UHCubeDayTibas2025,9.0,c,B,0,1,"(3,2) / (0,-3) / (-5,4) / (3,-3) / (-3,0) / (5,-3) / (3,0) / (0,-4) / (1,0) / (4,0) / (-3,0) / (6,-4) / (2,0)",10,"(2,4)/(2,2)/(4,-2)/(0,2)/(0,-1)/(0,-2)/(1,0)/(3,3)/(3,6)/(-3,6)/(0,-3)"
UHCubeDayTibas2025,9.0,c,B,0,2,"(0,-1) / (6,3) / (4,-5) / (-3,0) / (2,0) / (3,0) / (1,0) / (-2,-4) / (6,-5)",8,"(0,-1)/(4,2)/(5,6)/(3,6)/(0,-2)/(3,0)/(5,-4)/(0,3)/(0,1)"
UHCubeDayTibas2025,9.0,c,B,0,3,"(0,5) / (-2,-2) / (6,-3) / (2,-1) / (1,-5) / (2,0) / (-3,0) / (0,-3) / (-4,-3) / (-4,0) / (-2,0) / (2,0) / (6,0)",12,"(1,6)/(1,0)/(1,2)/(3,2)/(2,0)/(3,-2)/(4,1)/(2,6)/(3,0)/(0,-1)/(0,3)/(-5,1)/(-1,0)"
