competition_id,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_movecount,optimal_solution
LinzSummer2025,1,D,1,2,R U' R' U F U2 R2 U2 R2 U' R,5, R' F U' F' R
QuitoSuperCube2025,1,A,0,4,F U' R U R' U' F U R U2 R',5, F2 U F2 U2 F
ParlaOpen2025,f,A,1,1,U' R' U2 R U R U' R' U' R' U2,5, U R U' R U
ParlaOpen2025,f,A,0,5,R U' F' R2 F R U2 R U' F' R2,5, R F' U' R2 F
ToowoombaTwistOff2025,1,B,1,2,R U' R' U' R' U2 R U F R U',5, U2 R F U' F'
AshokaOneMallSunOpen2025,f,A,1,1,U2 R U R U2 R2 F U2 F R U',5, F' R U' F U
GemCityWarmUpOH2025,1,C,0,1,R U2 R2 F U2 R2 U2 R2 U2 R2 U',5, U F' R2 U2 R'
SanskaraCubeOpen2025,f,C,1,2,U' R' F U R U2 R' F' U' R2 F',5, F R F2 R2 U
WarmUpSeattle2025,1,D,1,2,R U' F' U2 R' U' R' F U F R,5, F2 R' U' R U
BristolJune2025,f,A,0,3,U' R' U2 R2 U' R2 U R' F' R U2,5, U R F' R2 F2
PhilippineChampionship2025,1,E,1,1,U R F U2 F R U R' U' F' U2,5, F' U' R' F U'
PhilippineChampionship2025,1,B,0,3,R' U' F' U' F' R U' R' U' R2 F',5, R' U' F2 U F'
TecCuberCBBA2025,1,B,0,1,U' R' U' F' R2 U R' U2 F U2 R2,5, R' U2 F2 R' F
DamasioOpen2025,2,A,0,4,R' U2 F R U' R' U' F R2 F' U',5, F' R' U2 F R2
NorthHighlandsSummer2025,d,B,0,2,U R U' F' U2 R' U' R U R' U2,5, U2 R U' F R2
LasPinasSpeedcubingWarmUp2025,c,B,0,5,R' F U' F' U2 R' U' F U2 R U,5, U' R' U' F2 R2
YanchengOpen2025,d,C,0,1,U' R' F R U R F' U' R' F U',5, U F2 U' R2 U
CubestuffChallengeCenturionQ2025,d,A,1,2,U R F U' R U R F' U2 R' U,5, U F' R' F2 R
SMAOpen2025,1,A,0,3,U2 R' U' F R2 U' R F R U2 R',5, U2 R' F R' F
NapuleEMilleCulure2025,f,B,0,3,R F U' F U2 R U R' U' F R2,5, R2 U' F2 R' F'
OneShamelinCubeOpen2025,2,A,1,1,U2 R' F' U2 F R U' R' U2 R' U',5, F' U F R2 U'
SwedishChampionship2025,2,B,0,3,R' U2 R2 U2 R2 U2 R2 U' R' U' R',5, U R U R U
HongKongCubeDay2025,1,E,1,1,R' F U2 R2 F' U2 R' U' R' U' R,5, F R' F2 U R'
SantaCruzOpen10Years2025,d,C,1,2,R' F U' F' U R U' R' U' F' U',5, R' U2 R F2 U
Pulmapelipaivat2025,f,B,1,1,U R' U2 R2 F' R2 U2 F' U' R U2,5, U2 R2 F' U2 F
ManyCubesinMansfield2025,f,A,0,4,U R U2 R' U' R' U' R2 F' R2 F,5, F' R2 F U R
GranollersOpen2025,d,B,0,3,U' R U' R2 F U' F R' F' R' U',5, R2 F2 U R' F2
gatewayKLIA2CubeOpen2025,1,F,0,2,R U2 R' U' R' U R U R U' F',5, F U2 R' U R'
VICStateChampionship2025,1,E,0,2,U R U' F' U2 R' U F U2 R2 U2,5, F U2 R' F R2
VICStateChampionship2025,1,D,0,1,U R' U2 R2 U' R2 U F' U' R U',5, F R' F2 R2 U2
CubeFactoryLeagueKoluszki2025,1,C,0,1,U' R' U2 R2 F' U2 R2 U2 F U2 R,5, R' U2 F2 R' U
AMRPlanetCubeOpen2025,1,A,0,3,R F R U' R F' U2 R' U R' F,5, R U2 F U' F
SingaporeCubingMayday2025,f,A,0,4,R F U2 F' R U' R U' R' U' R',5, U2 R2 F2 U F
BudapestSpring2025,1,D,0,4,R' U F U R U R U2 R' U' R',5, F U' F' R2 U'
BudapestSpring2025,1,A,1,2,R' F U2 R U R' F R2 U2 R2 U2,5, R' F2 U2 F R2
MetropolisLaraLeagueII2025,c,A,1,2,U' R2 F U2 R U' R F' R2 U' R2,5, F2 R' U' R2 U'
ColoradoSpringsSpring2025,f,A,1,1,U R F' R' F U' R U' R' U' F,5, F2 R F U2 R'
ColoradoSpringsSpring2025,d,A,0,4,U2 R U' R' U' R' U' R U2 F R,5, R' F' U' R U'
ItsSarzanaOClock2025,2,C,1,2,R' U' R U' R U2 F R2 U2 F' U',5, F2 R' U' R F'
GLSIII2025,1,A,0,3,R' F' U F U' F' R2 U' R' U R,5, R' F R2 F R
SpringBozeman2025,2,A,1,2,R U' F' U' R' U R' F' U' F R,5, F U R2 F R2
DarkhanKodomoCup2025,1,C,0,2,U2 R' U2 R2 U2 R2 U2 F R U2 R',5, F' R' U' F2 U'
SonginokhairkhanCup2025,1,E,0,5,R' F R U R' F' R' U' F R2 U',5, U F2 U' R2 F2
KailuaKupulau2025,1,A,1,2,U R U' R' U' R' U2 R U R' U,5, U' R2 U R U'
SalitrealCuboBogota2025,c,B,0,5,R U' F' U2 R' U' R F' U2 R2 F,5, F R2 U2 F2 U
SandefjordOpen2025,f,B,0,5,U F U' F U' F R2 U' R' U2 R',5, F U2 F R' F2
EasterinPragueEast2025,2,A,0,5,R' U2 F' R2 U' R2 U' F U' F' U',5, U R' U' R2 F
MartignyOpen2025,f,A,1,2,U R' F U R2 U' R2 F' U2 R U,5, R2 F R' F' U'
GetafeOpen2025,1,C,1,2,U2 R' U F R U' R F' U2 R' U2,5, F' U F2 R2 U2
NanchangSpring2025,d,C,1,1,R' U R U R' F' U' R U2 R' U',5, F U F' R U2
BayankhongorOpen2025,1,D,0,4,U2 R' U2 F' R U' R' U2 R2 F' R',5, F' R' U2 F2 R'
BangaloreCubeOpen2025,d,B,0,1,R U2 R' U R' F R U R' U2 F2,5, R' F2 U F' U
NevadaChampionship2025,1,B,0,1,R' F R U R F' U' R' F U' F,5, F' U F2 U' R2
