competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_simtickcount,simtickcount_solution
TassieSummer2023,15.0,c,A,1,1,UR3+ DR1+ DL2- UL1- U1- R2- D3- L1+ ALL1+ y2 U0+ R3+ D0+ L4+ ALL3- UR DR UL,15,"UR(-1,-1) DL(2,1) R(-1,1) D(2,-2) L(0,4) ul(0,2) \(1,1) ALL(0,-2)"
TassieSummer2023,15.0,c,A,1,2,UR2+ DR0+ DL2- UL5+ U4- R5+ D4+ L1- ALL2- y2 U0+ R5+ D3+ L2+ ALL2- UL,12,"UR(-1,-1) DR(-2,2) UL(-2,0) R(-4,4) dr(1,2) dl(1,1)"
MinervaOpen2022,15.0,d,C,0,1,UR5- DR2+ DL4- UL1+ U5+ R4+ D4+ L4- ALL6+ y2 U6+ R1+ D1+ L1+ ALL6+ DL UL,14,"UR(0,-1) DR(-1,0) UL(-1,1) D(-1,1) L(-4,-4) ur(-2,5) dl(0,1)"
MinervaOpen2022,15.0,d,C,0,2,UR6+ DR5- DL3- UL3- U5+ R2+ D1- L6+ ALL1+ y2 U1- R5- D5- L1+ ALL3+ DL UL,18,"DL(-3,0) UL(3,-3) U(1,1) R(-3,3) dr(0,1) dl(-5,5) ul(0,-1) /(-1,-1)"
MinervaOpen2022,15.0,d,C,0,3,UR4+ DR2- DL3+ UL6+ U2+ R6+ D4+ L2+ ALL2+ y2 U4- R0+ D2- L2- ALL2-,15,"DR(4,4) DL(1,0) D(2,-4) dr(2,-2) /(0,4)"
MinervaOpen2022,15.0,d,C,0,4,UR4+ DR3+ DL3- UL4+ U3- R6+ D2+ L3+ ALL3+ y2 U1+ R2+ D3+ L1+ ALL2+ UR DR,13,"UR(-1,0) UL(-4,4) D(-2,1) ur(-2,0) dr(0,1) dl(2,2) /(0,1)"
MinervaOpen2022,15.0,d,C,0,5,UR0+ DR3+ DL5+ UL0+ U2+ R4- D5- L5+ ALL6+ y2 U3- R4- D2- L1+ ALL3+ UR DL,16,"DR(0,-1) U(-2,1) R(1,-1) D(-3,-3) L(2,1) dl(-2,-3) ul(2,0) \(2,1)"
MinervaOpen2022,15.0,d,C,1,1,UR5- DR1+ DL5- UL5+ U6+ R2- D6+ L6+ ALL5- y2 U5+ R4+ D4- L3+ ALL5+ DR DL UL,23,"UR(6,4) DL(-2,0) D(0,1) L(-4,-5) dr(-4,-4) ul(-4,4) /(1,1)"
MinervaOpen2022,15.0,d,C,1,2,UR5+ DR4+ DL1- UL1+ U5- R4+ D3- L5+ ALL3+ y2 U3- R5+ D4+ L5+ ALL5+ UL,18,"UL(-1,4) R(-1,1) L(-4,-4) ur(3,-3) dl(2,4) ALL(0,2)"
DneprNeverFails2018,15.0,d,B,0,1,UR1+ DR1+ DL1- UL2+ U5- R0+ D4- L3- ALL5- y2 U1- R3+ D1+ L4+ ALL2+,17,"DR(1,0) DL(2,0) U(2,1) R(-3,3) D(1,-1) L(0,4) \(1,2) ALL(-2,0)"
DneprNeverFails2018,15.0,d,B,0,2,UR3+ DR4+ DL3- UL4+ U4+ R3+ D2- L1+ ALL5+ y2 U1- R2- D2- L3- ALL1- UR,13,"UR(2,3) UL(-1,1) D(1,1) L(-1,-1) ur(1,-2) dl(0,-2) /(3,3)"
DneprNeverFails2018,15.0,d,B,0,3,UR4+ DR4- DL3+ UL0+ U0+ R0+ D2+ L1+ ALL2- y2 U2- R1+ D6+ L4- ALL2+ UR DR UL,18,"UR(-1,0) DL(-1,1) UL(-3,-3) U(0,-4) R(1,1) ur(2,-2) dr(0,-2) /(-3,0) ALL(1,0)"
DneprNeverFails2018,15.0,d,B,0,4,UR4- DR1+ DL5+ UL1+ U1+ R2+ D5- L4- ALL2- y2 U1- R2+ D0+ L3+ ALL5+ DR,15,"DL(-2,2) U(2,-1) R(1,1) D(1,-1) L(0,3) dl(2,1) /(1,4)"
DneprNeverFails2018,15.0,d,B,0,5,UR1+ DR5- DL3+ UL1- U2+ R1+ D5+ L2- ALL5+ y2 U4- R3+ D0+ L4- ALL2+ DR UL,21,"UR(0,2) U(-2,2) R(3,0) D(-3,5) L(0,-2) dr(0,-2) ul(3,3) /(2,1)"
DneprNeverFails2018,15.0,d,B,1,1,UR0+ DR6+ DL4+ UL0+ U3+ R3+ D4- L1- ALL2- y2 U3+ R4+ D3- L0+ ALL2+ UR DL UL,21,"DL(-1,0) UL(-2,-2) U(-1,0) R(3,-3) D(-5,5) dl(0,-3) ul(0,-2) /(-3,0) \(0,-1)"
DneprNeverFails2018,15.0,d,B,1,2,UR2- DR4+ DL3- UL4- U6+ R1- D3- L4- ALL2- y2 U3- R4- D1- L0+ ALL4- DR DL,13,"DL(1,0) R(-1,-1) D(1,0) L(-2,1) dr(1,-1) ul(-1,-3) \(-2,4)"
SCMU2016,15.0,d,D,0,1,UR2+ DR0+ DL2+ UL1- U5- R1- D4+ L2+ ALL5- y2 U1+ R5- D4- L1+ ALL5- UR DL,19,"UR(2,2) DR(-3,2) DL(-3,2) U(2,1) ur(1,1) dl(0,-5) \(3,-3)"
SCMU2016,15.0,d,D,0,2,UR2+ DR1- DL3+ UL1- U4+ R5- D1- L3- ALL4- y2 U1+ R2- D1- L3+ ALL0+ DR DL UL,15,"UR(5,3) DR(-1,0) UL(1,0) U(1,-1) ur(2,3) ul(0,-2) /(-2,-2)"
SCMU2016,15.0,d,D,0,3,UR5+ DR2+ DL5- UL4+ U5- R5- D2+ L3+ ALL0+ y2 U1+ R0+ D2- L0+ ALL1+ DL UL,14,"UR(-2,-2) DL(2,2) UL(-4,2) U(2,-2) D(-1,1) dl(2,0) /(0,-1)"
SCMU2016,15.0,d,D,0,4,UR5+ DR2+ DL2+ UL1- U0+ R5+ D6+ L1+ ALL5+ y2 U5- R3- D1+ L2- ALL2+ UR UL,16,"UR(-2,1) DR(2,4) UL(-2,2) U(0,1) ur(0,-2) ul(0,-3) \(1,2)"
SCMU2016,15.0,d,D,0,5,UR1+ DR4+ DL5- UL0+ U4- R0+ D4+ L4+ ALL2- y2 U4- R5+ D6+ L5+ ALL1+ UR DR UL,22,"UR(2,1) DR(-3,3) UL(1,0) R(-4,-4) ur(4,-4) dr(0,-3) dl(0,-3) /(-2,-1)"
SCMU2016,15.0,d,D,1,1,UR2- DR0+ DL2- UL6+ U6+ R1- D2- L3- ALL5+ y2 U4- R6+ D1+ L0+ ALL2+ UR DR DL,16,"UR(2,-1) DR(1,-1) D(3,3) L(-1,0) dl(0,1) ul(1,5) ALL(-1,-2)"
SCMU2016,15.0,d,D,1,2,UR4- DR2- DL1+ UL4- U6+ R5- D2+ L3+ ALL4+ y2 U1+ R2- D2+ L3+ ALL4+ DR DL,12,"UR(1,0) DR(0,-3) DL(-1,-2) UL(1,0) R(-2,-2) ur(0,1) dr(0,2)"
MasovianOpen2015,15.0,d,B,0,1,UR3+ DR1+ DL0+ UL2- U1- R2- D3+ L3+ ALL1+ y2 U5- R5- D3+ L2+ ALL2+ DL,15,"DR(-3,-2) DL(-1,2) R(1,-1) ur(-1,-1) dr(-3,3) ul(2,-4) /(-1,0)"
MasovianOpen2015,15.0,d,B,0,2,UR3- DR4- DL6+ UL3+ U1- R2+ D1- L1- ALL5+ y2 U5- R6+ D5- L6+ ALL6+ DL,22,"UR(1,-2) DL(2,0) R(4,-4) D(-3,-3) L(2,-1) dr(0,-5) ul(2,-2) \(-2,1)"
MasovianOpen2015,15.0,d,B,0,3,UR0+ DR1+ DL4- UL4- U4+ R4- D2+ L3- ALL3+ y2 U0+ R2+ D2- L1- ALL1+ UR DR DL,13,"DR(1,-1) R(2,2) L(-1,1) ur(-4,0) dr(-3,-2) ALL(-2,0)"
