competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_movecount,movecount_solution
SouthLuzonChampionship2025,8.0,c,A,0,1,UR4- DR5+ DL3- UL6+ U1- R2- D1- L1- ALL6+ y2 U0+ R6+ D3+ L1- ALL0+,9,DR1+ DL2- U1- ur1+ dl4- y2 D3+ L1+ DR6+ \6+
SouthLuzonChampionship2025,8.0,c,A,0,2,UR6+ DR3+ DL4- UL0+ U1- R1- D3+ L2- ALL3- y2 U5+ R4- D2- L5- ALL1+,9,UR5- DR3- D1+ L6- y2 D2+ R4+ U2+ UL5+ /4+
SouthLuzonChampionship2025,8.0,c,A,0,3,UR1+ DR4- DL2+ UL5+ U5- R4+ D2+ L3+ ALL3- y2 U1+ R5- D2+ L1+ ALL3-,8,UR1- L2+ dr6- y2 R4+ L3+ DL4- DR2+ UR1-
SouthLuzonChampionship2025,8.0,c,A,0,4,UR3+ DR4- DL2- UL0+ U0+ R3+ D6+ L3+ ALL6+ y2 U4+ R4- D2+ L0+ ALL3+,8,UR2- UL1- y2 dr1- ur5- R2- DR2- UR4- \3-
SouthLuzonChampionship2025,8.0,c,A,0,5,UR3+ DR1+ DL4- UL3- U5- R2- D5+ L5- ALL1- y2 U3- R0+ D0+ L6+ ALL5-,8,DR2- U5+ ALL4- y2 ul4+ dl3+ ur1+ L3+ UL3+
SouthLuzonChampionship2025,8.0,c,A,1,1,UR1- DR4- DL4+ UL3+ U2- R2+ D2+ L4- ALL2- y2 U5+ R0+ D4- L0+ ALL0+,8,DR3+ DL5- L2+ dr4+ /1- \1- y2 D4+ U5-
SouthLuzonChampionship2025,8.0,c,A,1,2,UR5- DR2+ DL5- UL5+ U2- R4+ D3+ L4+ ALL5+ y2 U3+ R5- D4+ L3+ ALL1+,10,UR1+ U1+ R2- L4- /5+ y2 ur3+ R3- UL3- DR4- /1+
RisbjergFebruar2025,8.0,f,A,0,1,UR4+ DR3- DL5- UL2+ U0+ R6+ D4+ L6+ ALL2+ y2 U3- R5+ D2- L1- ALL6+,11,UR5+ DL4+ UL1+ L4+ ul3- \3- y2 R2+ L1+ DR2+ UR3+ ALL1-
RisbjergFebruar2025,8.0,f,A,0,2,UR2+ DR0+ DL3+ UL1- U0+ R2- D3- L1- ALL4- y2 U5- R6+ D4+ L5- ALL6+,7,UL1- ALL5- y2 dl2+ D2+ UL5+ DR6+ /3+
RisbjergFebruar2025,8.0,f,A,0,3,UR0+ DR4- DL4+ UL4- U3+ R1+ D0+ L4+ ALL2- y2 U4+ R1+ D1+ L4+ ALL0+,8,UR1+ R2+ L4- /4- ALL3+ y2 UL4- DR1- /5-
RisbjergFebruar2025,8.0,f,A,0,4,UR5- DR1+ DL6+ UL3- U4- R3- D2+ L1- ALL3- y2 U2- R0+ D4+ L4+ ALL3-,8,DR5- DL2- D2- dl5- y2 ul4- dl3+ U2+ DL4-
RisbjergFebruar2025,8.0,f,A,0,5,UR2- DR3+ DL4- UL5+ U0+ R5+ D3+ L3+ ALL4- y2 U6+ R0+ D2+ L0+ ALL2+,10,DR3- UL3- R3- D1+ L1- y2 U4+ DR2- UR2+ /2+ ALL4-
RisbjergFebruar2025,8.0,f,A,1,1,UR6+ DR5- DL3+ UL5+ U3- R5+ D2+ L4+ ALL3+ y2 U5- R4- D6+ L2+ ALL6+,8,UR6- U2- y2 ul5+ U3- DL2- DR4- UR4- \3+
RisbjergFebruar2025,8.0,f,A,1,2,UR1+ DR4- DL4+ UL3+ U6+ R1+ D3- L6+ ALL2- y2 U2- R4- D0+ L2- ALL4-,10,UR2+ DR3+ R3- L1- /1- y2 ul1- U2- L2+ UR4+ /3-
MinxinginMemphis2025,8.0,1,A,0,1,UR3+ DR5+ DL2+ UL3- U2- R6+ D5+ L1+ ALL4- y2 U3+ R4- D0+ L5- ALL3-,7,UR2+ R4- ur2+ /5+ ALL6- y2 UL5+ UR4+
MinxinginMemphis2025,8.0,1,A,0,2,UR1- DR3+ DL0+ UL6+ U5- R0+ D1+ L2- ALL5- y2 U4- R5+ D4- L1- ALL6+,8,DL4- R2- ur6- /3+ y2 UL1+ DR4+ UR3+ /2+
MinxinginMemphis2025,8.0,1,A,0,3,UR0+ DR3- DL4+ UL5- U3- R5- D0+ L2- ALL3- y2 U2- R3+ D1- L0+ ALL3-,8,DR4- DL3+ U4- /5+ ALL5+ y2 D6+ DR5- UR2+
MinxinginMemphis2025,8.0,1,A,0,4,UR4+ DR5+ DL0+ UL1- U3+ R4+ D4+ L4+ ALL3+ y2 U3- R3+ D2+ L3+ ALL3+,10,UR4- DR3+ UL2- L1- ul2+ y2 ur3+ D1+ U6+ DL3- UR3-
MinxinginMemphis2025,8.0,1,A,0,5,UR5+ DR5+ DL6+ UL3- U1- R3- D3+ L2- ALL3- y2 U2- R5- D4- L5+ ALL4-,10,DR2- UL1- R5- \1+ y2 dl4+ D4- U2- UL4+ DL3+ DR5+
