competition_id,Ao5,round_type_id,group_id,scramble_num,scramble,optimal_simulcount,simulcount_solution
PrlekijaOpen2026,5.67,d,B,4,UR3- DR5- DL3- UL3+ U1+ R1+ D5+ L1+ ALL1- y2 U0+ R5+ D6+ L0+ ALL3-,6,"UR(0,1) DR(3,2) UL(-1,-2) R(4,-1) dl(-5,6) /(0,2)"
PrlekijaOpen2026,5.67,d,B,5,UR4+ DR2+ DL4+ UL5- U4- R4+ D4+ L1+ ALL3- y2 U4+ R2- D5- L4- ALL3-,5,"DR(2,3) U(5,5) ur(6,-4) dl(0,2) ul(4,-4)"
PravegaIIScBLRCubeOpen2026,5.67,d,B,1,UR3+ DR0+ DL3+ UL2+ U5- R3+ D3- L2- ALL5+ y2 U5- R4+ D2+ L0+ ALL6+,5,"R(6,-3) L(-3,-2) dr(1,2) ul(6,-5) /(-4,3)"
PravegaIIScBLRCubeOpen2026,5.67,d,B,2,UR2+ DR4+ DL5+ UL4+ U0+ R3+ D2- L3+ ALL4- y2 U0+ R0+ D2- L4+ ALL4-,5,"UR(-2,5) DR(5,6) U(-4,-5) L(0,1) dr(-2,3)"
PravegaIIScBLRCubeOpen2026,5.67,d,B,3,UR3- DR2+ DL3- UL3+ U3- R2- D4- L6+ ALL5- y2 U5- R3+ D1- L5- ALL3-,6,"UR(3,-3) D(5,4) L(6,-4) dr(6,-1) ul(1,3) ALL(0,2)"
PravegaIIScBLRCubeOpen2026,5.67,d,B,4,UR5- DR4+ DL5+ UL4+ U2- R6+ D6+ L2- ALL5+ y2 U5+ R2- D3- L5- ALL2-,7,"UR(-2,2) DR(-3,0) UL(5,6) U(0,-3) ur(3,-5) ul(0,-2) \(0,-5)"
PravegaIIScBLRCubeOpen2026,5.67,d,B,5,UR2+ DR0+ DL3- UL4- U1+ R4+ D4+ L2+ ALL5- y2 U5- R3- D4- L5+ ALL5-,6,"DR(6,-3) DL(5,0) U(1,1) ur(2,-2) dr(-4,-5) ul(1,-3)"
ItsChristmasTimeLima2025,5.67,d,D,1,UR5+ DR6+ DL5- UL2- U2- R4- D3+ L1+ ALL5- y2 U2+ R6+ D1- L3- ALL1+,7,"UR(5,-1) UL(6,-5) D(-4,-2) ur(0,-2) dr(0,-1) ul(0,6) \(-4,-2)"
ItsChristmasTimeLima2025,5.67,d,D,2,UR2- DR1+ DL3+ UL2- U5- R1+ D5- L1+ ALL0+ y2 U1+ R1+ D6+ L6+ ALL6+,5,"DL(1,6) UL(-3,5) dr(6,6) ul(0,1) \(4,2)"
ItsChristmasTimeLima2025,5.67,d,D,3,UR4- DR5+ DL2+ UL2+ U3+ R6+ D1+ L4+ ALL6+ y2 U1- R5- D3- L4+ ALL0+,6,"UR(5,6) DL(4,-4) U(6,-3) ur(3,4) ul(-4,-5) /(-3,-3)"
